VEG_ID,LONGITUDE,LATITUDE,ELEV,HEIGHT,AVG_SPREAD,MAX_SPREAD,TREE_SPECIES,LAST_TRIMMED
1,-117.928859,33.80744047,186.33,58.81,17.39,19.69,Western sycamore,9/10/21
2,-117.929281,33.80741316,148.5,22.54,16.73,18.37,California palm,9/10/21
3,-117.928838,33.8074189,187.84,61.17,18.7,21.33,Queen palm,9/10/21
4,-117.928061,33.80742567,201.67,73.16,17.39,18.37,Mexican fan palm,9/10/21
5,-117.929117,33.80740087,147.3,20.56,17.72,19.03,Carrotwood,9/10/21
6,-117.928933,33.80740356,145.39,18.52,16.73,24.93,Dwarf fig tree,9/10/21
7,-117.915727,33.80758065,164.17,27.7,17.72,18.7,Western sycamore,9/10/21
8,-117.929014,33.8073988,157.37,30.45,18.37,19.03,Western sycamore,9/10/21
9,-117.928670,33.80740336,157.89,30.7,17.06,17.72,California palm,9/10/21
10,-117.928730,33.80739933,152.36,25.27,17.72,19.03,Queen palm,9/10/21
11,-117.929339,33.80738782,151.98,25.54,17.06,18.37,Mexican fan palm,9/10/21
12,-117.915800,33.80755761,163.75,27.62,18.37,20.34,Carrotwood,9/10/21
13,-117.915576,33.80754982,188.67,51.55,20.01,23.62,Dwarf fig tree,9/10/21
14,-117.915572,33.80755054,188.67,51.55,19.36,22.31,Western sycamore,9/10/21
15,-117.915709,33.80754091,170.96,34.17,18.37,19.03,Western sycamore,9/10/21
16,-117.915537,33.80754303,188.26,51.88,18.37,19.03,California palm,9/10/21
17,-117.915795,33.80752568,162.29,26.28,18.7,22.31,Queen palm,9/10/21
18,-117.928613,33.80735024,145.94,17.81,18.37,23.29,Mexican fan palm,9/10/21
19,-117.915658,33.8075237,166.89,29.57,18.7,20.34,Carrotwood,9/10/21
20,-117.915925,33.80751813,181.3,45.45,18.37,19.03,Dwarf fig tree,9/10/21
21,-117.915486,33.80751881,182.14,46.2,18.37,19.03,Western sycamore,9/10/21
22,-117.915799,33.80749331,162.16,26.22,18.7,31.5,Western sycamore,9/10/21
23,-117.915910,33.80747154,180.26,44.97,18.7,20.34,California palm,9/10/21
24,-117.914639,33.8074765,158.84,21.61,16.73,19.03,Queen palm,9/10/21
25,-117.915535,33.80746115,187.46,50.86,18.37,19.03,Mexican fan palm,9/10/21
26,-117.915799,33.8074544,164.13,28.22,18.37,19.03,Carrotwood,9/10/21
27,-117.915695,33.80745566,166.42,29.57,20.01,30.18,Dwarf fig tree,9/10/21
28,-117.915476,33.80745784,181.14,45.26,18.37,19.03,Western sycamore,9/11/21
29,-117.915655,33.80743799,172.36,34.98,18.37,19.03,Western sycamore,9/11/21
