LONGITUDE,LATITUDE,ELEV,HEIGHT,AVG_SPREAD,MAX_SPREAD
-118.3696368,33.97541321,135.37,20.67,16.73,17.39
-118.3696563,33.9753871,134.10,18.17,16.73,17.39
-118.3696605,33.97533408,134.40,16.62,16.73,17.72
-118.3705026,33.97523333,135.57,19.82,15.75,17.39
-118.3703959,33.97519112,149.41,36.69,17.06,19.36
-118.3703165,33.97517201,144.32,34.63,14.76,16.08
-118.370395,33.97515875,149.11,38.57,16.73,17.39
-118.3703172,33.97512985,143.16,34.56,14.11,15.42
-118.3705799,33.97511284,144.68,35.64,16.08,17.39
-118.3704065,33.97510948,146.74,37.74,16.73,17.39
-118.3705011,33.97510531,148.62,39.43,16.73,17.39
-118.370591,33.97508226,143.23,34.85,15.75,17.39
-118.3695729,33.975017,127.47,18.69,15.75,21.65
-118.3703204,33.97500806,141.03,34.54,14.11,15.42
-118.3697683,33.975006,131.08,22.73,16.73,17.39
-118.3696711,33.97500686,123.29,16.89,16.08,17.06
-118.3695679,33.97496768,132.69,25.82,16.08,17.39
-118.3705721,33.97496133,134.11,26.37,16.73,17.39
-118.3704963,33.9749513,127.99,20.94,16.08,17.06
-118.3703661,33.97494187,153.68,47.86,17.39,20.34
-118.369572,33.97494181,134.35,28.23,15.42,16.73
-118.3697216,33.97492196,133.03,27.07,15.09,19.36
-118.370359,33.97490928,155.52,49.78,16.73,17.39
-118.3697494,33.97488823,127.84,23.14,16.73,17.39
-118.3700288,33.9748709,127.22,22.30,16.40,19.36
-118.3699451,33.97486817,149.40,44.41,18.04,28.87
-118.3699059,33.97485487,151.17,46.09,17.06,18.37
-118.3703508,33.97481759,151.39,47.74,17.06,18.04
-118.369702,33.97480952,126.71,25.31,14.44,16.08
-118.3703507,33.97479432,148.84,45.58,17.06,20.34
-118.3695988,33.97477731,138.24,36.24,16.73,17.39
-118.3695829,33.97470507,128.06,26.27,15.42,17.72
-118.3696262,33.97469561,133.14,32.30,17.06,20.01
-118.3705858,33.97457784,123.43,18.23,15.09,16.73
-118.370397,33.97456202,154.44,53.20,16.73,17.39
-118.3703257,33.97454646,122.48,23.64,14.44,15.75
-118.3704756,33.9745422,120.25,16.98,15.42,18.04
-118.3705814,33.97451485,126.20,22.38,14.76,16.73
-118.3699326,33.97448424,140.63,42.63,15.42,16.73
-118.3698922,33.9744383,138.81,40.91,15.42,16.08
-118.3699904,33.97441184,151.07,52.83,16.08,23.95
-118.3700261,33.97431719,123.65,25.80,14.44,16.08
-118.3698375,33.97426216,154.07,49.25,16.73,17.39
-118.3704198,33.97425739,133.71,34.79,16.40,17.39
-118.3705246,33.97425303,131.49,31.82,16.08,17.39
-118.3703832,33.97423066,136.24,37.57,17.06,19.36
-118.3698722,33.97421948,133.49,34.95,16.40,20.01
-118.3698447,33.97420614,139.04,34.00,16.40,18.37
-118.370367,33.97418473,139.95,42.35,16.73,17.39
-118.3698831,33.97418099,137.42,32.82,15.75,21.65
-118.3697424,33.97416729,124.17,19.30,16.73,17.39
-118.3700325,33.97415987,120.58,22.62,16.08,17.72
-118.370364,33.97415227,137.97,40.31,20.01,32.48
-118.3696556,33.97412166,128.93,23.85,16.73,20.34
-118.3700285,33.97411379,119.96,21.90,15.42,17.39
-118.3703551,33.97409984,121.87,24.07,16.73,17.39
-118.3703245,33.97409744,124.73,27.64,15.09,16.08
-118.3703121,33.97404838,126.54,29.09,14.76,16.08
-118.3698942,33.97401933,119.32,16.83,16.73,17.39
-118.369886,33.97397986,198.13,95.55,14.44,15.75
-118.3703157,33.973959,155.63,57.30,16.73,17.39
-118.3703698,33.97391253,142.81,43.22,16.73,17.39
-118.3695999,33.9738984,147.32,32.90,17.39,25.26
-118.3696382,33.97386981,153.36,39.36,16.73,18.37
-118.3695874,33.97386354,152.79,38.65,16.73,17.72
-118.3704051,33.97384093,131.18,28.96,14.44,16.08
-118.3697603,33.97384311,154.93,45.73,16.73,17.39
-118.3697123,33.97381112,161.40,48.25,16.73,17.39
-118.3696347,33.97380677,156.59,42.25,17.39,20.34
