vegetation_id,block_id,hazard_condition,status,voltage,h_conductor,x_distance,pole_from,pole_to,longitude,latitude,las_id,F3d_clearance,vegetation_height,floc_id,circuit_name,flight_date
0548300001,,Fall,Fall-in <= -20ft,12KV,35.63,18.35,2293466E,2293465E,-116.9083177,33.90578688,Dysart-GEO1-20210408,-41,81.45,ED-05483,DYSART,20210408
0548300002,,Fall,Fall-in <= -20ft,12KV,35.4,27.07,2293466E,2293465E,-116.9082891,33.90582384,Dysart-GEO1-20210408,-35.01,79.56,ED-05483,DYSART,20210408
0548300003,,Fall,Fall-in <= -20ft,12KV,33.53,15.33,2138069E,2138070E,-116.9114166,33.90538625,Dysart-GEO1-20210408,-33.53,70.71,ED-05483,DYSART,20210408
0548300004,,Fall,Fall-in <= -20ft,12KV,35.18,32.01,2293466E,2293465E,-116.9082729,33.90584818,Dysart-GEO1-20210408,-33.49,81.31,ED-05483,DYSART,20210408
0548300005,,Fall,Fall-in <= -20ft,12KV,34.51,30.3,2033686E,2069938E,-116.9161348,33.89300327,Dysart-GEO1-20210408,-33.36,79.73,ED-05483,DYSART,20210408
0548300006,,Fall,Fall-in <= -20ft,12KV,27.43,4.14,2162114E,2138069E,-116.9119528,33.90573863,Dysart-GEO1-20210408,-33.07,60.69,ED-05483,DYSART,20210408
0548300007,,Fall,Fall-in <= -20ft,12KV,35.65,19.05,2210852E,2210850E,-116.9249874,33.90760873,Dysart-GEO1-20210408,-32.61,70.89,ED-05483,DYSART,20210408
0548300008,,Fall,Fall-in <= -20ft,12KV,44.53,15.53,2293466E,2293465E,-116.908328,33.90543126,Dysart-GEO1-20210408,-32.4,80.02,ED-05483,DYSART,20210408
0548300009,,Fall,Fall-in <= -20ft,12KV,38.55,13.95,2293466E,2293465E,-116.9083323,33.90561245,Dysart-GEO1-20210408,-32.27,73.66,ED-05483,DYSART,20210408
0548300010,,Fall,Fall-in <= -20ft,12KV,35.81,23.43,2293466E,2293465E,-116.908301,33.90576209,Dysart-GEO1-20210408,-31.79,74.82,ED-05483,DYSART,20210408
0548300011,,Fall,Fall-in <= -20ft,12KV,45.28,13.46,2293466E,2293465E,-116.908335,33.90540422,Dysart-GEO1-20210408,-31.74,79.29,ED-05483,DYSART,20210408
0548300012,,Fall,Fall-in <= -20ft,12KV,35.58,28.36,2293466E,2293465E,-116.9082848,33.90579049,Dysart-GEO1-20210408,-31.46,77.22,ED-05483,DYSART,20210408
0548300013,,Fall,Fall-in <= -20ft,12KV,34.69,17.96,2138069E,2138070E,-116.9114085,33.90535876,Dysart-GEO1-20210408,-31.02,69.59,ED-05483,DYSART,20210408
0548300014,,Fall,Fall-in <= -20ft,12KV,27.37,24.58,2162114E,2138069E,-116.9119463,33.90568229,Dysart-GEO1-20210408,-30.83,67.3,ED-05483,DYSART,20210408
0548300015,,Fall,Fall-in <= -20ft,12KV,38.32,23.95,2293466E,2293465E,-116.9082994,33.90562372,Dysart-GEO1-20210408,-30.57,76.36,ED-05483,DYSART,20210408
0548300016,,Fall,Fall-in <= -20ft,12KV,36.01,19.48,2293466E,2293465E,-116.908314,33.90573505,Dysart-GEO1-20210408,-30.12,71.62,ED-05483,DYSART,20210408
